[ 2026-03-12 02:44:40,924 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-12 02:44:46,879 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-12 02:44:46,879 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-12 02:44:46,879 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-12 02:44:46,982 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-12 02:44:46,982 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-12 02:44:47,007 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-12 02:44:47,119 ] 32 root - INFO - Required number of columns:2
[ 2026-03-12 02:44:47,119 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-12 02:44:47,119 ] 32 root - INFO - Required number of columns:2
[ 2026-03-12 02:44:47,119 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-12 02:44:47,409 ] 28 root - INFO - data Validation Completed
[ 2026-03-12 02:44:47,410 ] 31 root - INFO - data Transformation started
[ 2026-03-12 02:44:47,410 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-12 02:44:47,411 ] 65 root - INFO - Starting data transformation
[ 2026-03-12 02:44:47,459 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-12 02:44:47,459 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-12 02:44:47,473 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-12 02:44:47,489 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-12 02:44:47,490 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-12 02:44:47,490 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-12 02:44:47,496 ] 35 root - INFO - data Transformation completed
[ 2026-03-12 02:44:47,496 ] 37 root - INFO - Model Training sstared
