[ 2026-03-12 02:55:20,168 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-12 02:55:25,600 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-12 02:55:25,600 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-12 02:55:25,601 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-12 02:55:25,748 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-12 02:55:25,748 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-12 02:55:25,783 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-12 02:55:25,922 ] 32 root - INFO - Required number of columns:2
[ 2026-03-12 02:55:25,922 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-12 02:55:25,922 ] 32 root - INFO - Required number of columns:2
[ 2026-03-12 02:55:25,922 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-12 02:55:26,266 ] 28 root - INFO - data Validation Completed
[ 2026-03-12 02:55:26,269 ] 31 root - INFO - data Transformation started
[ 2026-03-12 02:55:26,269 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-12 02:55:26,269 ] 65 root - INFO - Starting data transformation
[ 2026-03-12 02:55:26,311 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-12 02:55:26,311 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-12 02:55:26,344 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-12 02:55:26,350 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-12 02:55:26,350 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-12 02:55:26,357 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-12 02:55:26,358 ] 35 root - INFO - data Transformation completed
[ 2026-03-12 02:55:26,358 ] 37 root - INFO - Model Training sstared
