[ 2026-03-12 01:30:22,944 ] 21 root - INFO - Initiate the data ingestion
[ 2026-03-12 01:30:28,447 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-12 01:30:28,447 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-12 01:30:28,447 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-12 01:30:28,561 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-12 01:30:28,562 ] 23 root - INFO - Data Initiation Completed
[ 2026-03-12 01:30:28,579 ] 27 root - INFO - Initiate the data Validation
[ 2026-03-12 01:30:28,667 ] 32 root - INFO - Required number of columns:2
[ 2026-03-12 01:30:28,667 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-12 01:30:28,706 ] 32 root - INFO - Required number of columns:2
[ 2026-03-12 01:30:28,706 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-12 01:30:28,980 ] 29 root - INFO - data Validation Completed
[ 2026-03-12 01:30:28,980 ] 32 root - INFO - data Transformation started
[ 2026-03-12 01:30:28,980 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-12 01:30:28,980 ] 65 root - INFO - Starting data transformation
[ 2026-03-12 01:30:29,022 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-12 01:30:29,023 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-12 01:30:29,057 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-12 01:30:29,066 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-12 01:30:29,066 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-12 01:30:29,072 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-12 01:30:29,072 ] 36 root - INFO - data Transformation completed
