[ 2026-03-12 01:27:05,293 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-12 01:27:11,897 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-12 01:27:11,897 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-12 01:27:11,897 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-12 01:27:12,012 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-12 01:27:12,012 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-12 01:27:12,063 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-12 01:27:12,158 ] 32 root - INFO - Required number of columns:2
[ 2026-03-12 01:27:12,161 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-12 01:27:12,161 ] 32 root - INFO - Required number of columns:2
[ 2026-03-12 01:27:12,161 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-12 01:27:12,444 ] 28 root - INFO - data Validation Completed
