[ 2026-03-23 08:54:07,385 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-23 08:54:10,427 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-23 08:54:10,429 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-23 08:54:10,429 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-23 08:54:10,506 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-23 08:54:10,508 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-23 08:54:10,532 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-23 08:54:10,590 ] 32 root - INFO - Required number of columns:2
[ 2026-03-23 08:54:10,590 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-23 08:54:10,592 ] 32 root - INFO - Required number of columns:2
[ 2026-03-23 08:54:10,592 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-23 08:54:10,763 ] 28 root - INFO - data Validation Completed
[ 2026-03-23 08:54:10,763 ] 31 root - INFO - data Transformation started
[ 2026-03-23 08:54:10,763 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-23 08:54:10,763 ] 65 root - INFO - Starting data transformation
[ 2026-03-23 08:54:10,794 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-23 08:54:10,794 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-23 08:54:10,810 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-23 08:54:10,814 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-23 08:54:10,816 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-23 08:54:10,819 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-23 08:54:10,819 ] 35 root - INFO - data Transformation completed
[ 2026-03-23 08:54:10,819 ] 37 root - INFO - Model Training sstared
[ 2026-03-23 08:57:28,264 ] 117 root - INFO - Best Model: Random Forest, Score: 0.88591122378152
