[ 2026-03-12 00:10:35,179 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-12 00:10:39,443 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-12 00:10:39,443 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-12 00:10:39,444 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-12 00:10:39,519 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-12 00:10:39,520 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-12 00:10:39,536 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-12 00:10:39,611 ] 32 root - INFO - Required number of columns:2
[ 2026-03-12 00:10:39,611 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-12 00:10:39,611 ] 32 root - INFO - Required number of columns:2
[ 2026-03-12 00:10:39,611 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-12 00:10:39,788 ] 28 root - INFO - data Validation Completed
